Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%),Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%),Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"258715797,02","476717297,00","84,26","250087057,00","445864734,00","78,28","3,35",1,0,0,"2,19",1.0,"3,3537",,,,,,
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"737959852,83","669647053,68","-9,26","487771237,00","435390296,00","-10,74","1,66",1,0,"43,30","1,65",1.0,"1,6602","8,4239","18,4207","24,5345","43,3021",,
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Fonu,"35409996,25","34123668,65","-3,63","20908075,00","20157562,00","-3,59","-0,04",1,0,"29,28","3,65",5.0,"-0,0447","-2,3576","11,7813","27,8378","29,2797",,
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"2493641967,47","2441707735,28","-2,08","1769257926,00","1678493994,00","-5,13","3,21","1,25","1,25","45,17","1,65",1.0,"3,2122","10,0459","20,2596","26,5807","45,1727",,
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"5359411176,69","5970976609,95","11,41","2460427789,00","2653569373,00","7,85","3,30","1,3","1,3","46,16","3,65",1.0,"3,3019","10,2013","20,6057","26,9192","46,1594",,
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"781164176,45","859298394,82",10,"604639224,00","643867421,00","6,49","3,30","1,16",0,0,"3,65",1.0,"3,3003","10,2419","20,535","26,6823",,,
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Fonu,"1755490070,92","1934436394,71","10,19","90255244,00","88189195,00","-2,29","12,78",1,1,"53,33","2,19",6.0,"12,7751","2,9254","-8,2238","9,7109","53,3289","293,5703","1076,7547"
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Fonu,"53733629,61","48865900,49","-9,06","6268174,00","5558398,00","-11,32","2,55","1,5","1,5","27,07","3,65",4.0,"2,5537","7,5043","12,7841","16,0454","27,0683","135,0129","487,8164"
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Kira Sertifikası Fonu,"992919128,14","1344387013,70","35,4","156276315,00","204464672,00","30,84","3,49",1,1,"46,25","3,65",1.0,"3,4869","10,5968","20,7249","26,9965","46,2505","217,6074","352,6393"
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"6395686547,16","7902081714,28","23,55","955633990,00","1144100521,00","19,72","3,20","1,5","1,5","43,52","2,56",1.0,"3,2005","9,7823","19,2679","25,341","43,5229","214,4742","363,2795"
RCV,AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"59146659,45","65186592,25","10,21","35081245,00","36151492,00","3,05","6,95",3,0,"46,60","3,65",4.0,"6,949","11,2296","20,1289","34,1833","46,6015",,
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"93193697,69","90050260,41","-3,37","29726522,00","25487271,00","-14,26","12,70","0,95","0,95","52,86","2,19",6.0,"12,6973","4,6806","-6,1327","8,1542","52,8606",,
RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"90203179,21","90804801,66","0,67","43872721,00","44541885,00","1,53","-0,85","1,2",0,"38,53","3,65",2.0,"-0,8454","5,3868","14,6782","20,5481","38,5323",,
RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,Katılım Fonu,"734921706,25","820981129,82","11,71","460948729,00","498945660,00","8,24","3,20","0,9","0,9","44,83","1,65",2.0,"3,2028","9,9822","20,1048","26,1979","44,8282",,
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"12820910708,97","14176457668,37","10,57","18105538541,44","17749260041,44","-1,97","12,79","1,2","1,2","40,03","4,38",6.0,"12,7924","1,8335","-10,7348","-1,0224","40,029","258,6841","1141,2498"
TLK,AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"3225559634,18","3601374858,07","11,65","1884914806,00","2037074137,00","8,07","3,31","1,2","1,2","45,63","1,65",1.0,"3,3113","10,1856","20,2867","26,49","45,6316",,
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"3633002894,54","3952452775,63","8,79","2753800355,00","2895332021,00","5,14","3,47",1,0,0,2,1.0,"3,4749","10,4147","22,3241","29,8406",,,
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,Katılım Fonu,"121230724,70","0,00",-100,"4352317,00","0,00",-100,"-100,00","1,05","1,05",0,"3,65",6.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
TVE,EMAA BLUE PORTFÖY TARIM VE GIDA SEKTÖRÜ KATILIM FONU,Katılım Fonu,"224552753,81","217346906,44","-3,21","195739096,00","190220191,00","-2,82","-0,40","2,4","2,4",0,"3,65",6.0,"-0,4007","-4,0892","2,9446","15,7639",,,
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"2945337743,55","3069219051,02","4,21","556260630,00","561659450,00","0,97","3,20","1,5","1,5","43,76","2,54",1.0,"3,2044","9,7705","19,3288","25,3506","43,7557","219,7062","369,9342"
VFO,V PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"47250062,76","0,00",-100,"51434117,00","0,00",-100,"-100,00","1,8","1,8",0,"2,19",6.0,"0,00",,,,,,
VKK,VAKIF KATILIM PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"46438757,69","65446765,51","40,93","44254519,00","60399848,00","36,48","3,26","1,5","1,5",0,"3,65",2.0,"3,2593",,,,,,
VKV,VAKIF KATILIM PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"200429809,93","415975434,49","107,54","190989694,00","383810778,00","100,96","3,28","1,5","1,5",0,"2,56",2.0,"3,2757",,,,,,
VLT,VAKIF KATILIM PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"52364516,61","63273292,09","20,83","56625935,00","60848949,00","7,46","12,45","1,5","1,5",0,"2,19",6.0,"12,4465",,,,,,
VPA,VAKIF KATILIM PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"10157703725,46","8975362533,63","-11,64","9450425837,00","8084230418,00","-14,46","3,29","1,25","1,25",0,"1,65",1.0,"3,2926","10,2982",,,,,
VRK,DENİZ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"49572716,14","47175229,10","-4,84","39014197,00","35436557,00","-9,17","4,77","1,95","1,95",0,0,4.0,"4,7713","7,0992","12,7533","23,6014",,,
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"866500314,85","888984006,70","2,59","8442106082,00","8454274009,00","0,14","2,45","2,01","2,01","39,13","3,65",2.0,"2,4474","7,0827","14,8813","21,249","39,1323","190,4751","398,3743"
ZBI,ZİRAAT PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Fonu,"205151899,99","183773845,03","-10,42","92782479,00","80275445,00","-13,48","3,54",2,2,"45,42",0,3.0,"3,536","9,4807","18,8625","28,047","45,4182",,
ZCK,ZİRAAT PORTFÖY AGRESİF KATILIM FONU,Katılım Fonu,"394325219,68","388986876,55","-1,35","221672427,00","208378247,00",-6,"4,94","2,75","2,75","40,55",0,4.0,"4,9397","8,7449","19,5543","36,25","40,5544",,
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),Katılım Fonu,"714222583,66","751717693,84","5,25","31420932,00","32392919,00","3,09","2,09",1,1,"23,73","4,38",6.0,"2,0916","6,3023","10,9275","13,7283","23,7293","124,714","589,2437"
