Dışa Aktarım Tarihi:,21.08.2026 08:51:06
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,4,"3,1955","9,9861","13,3391","68,3891","57,9672","",""
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"4,1123","12,7525","26,586","35,7566","","",""
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"3,193","4,4175","26,9182","33,053","50,6923","",""
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,6,"10,8274","13,26","21,6488","41,3634","68,6391","",""
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"","4,1937","6,8969","10,54","13,2655","","",""
BDC,AURA PORTFÖY BODRUM SERBEST FON,Serbest Şemsiye Fonu,5,"4,2058","0,3003","2,1059","-6,203","4,9533","225,5612",""
BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-8,442","-10,4692","-15,4232","-7,7031","-7,1377","",""
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,9163","6,9568","7,661","22,4937","26,9584","",""
BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"0,8377","4,2301","4,9841","14,0036","31,3352","",""
BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,6,"12,0322","1,051","0,6545","","","",""
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,9778","0,7038","-11,0438","3,2914","6,2065","",""
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,4309","10,3705","20,7907","27,4159","47,375","262,3903","447,6964"
BGR,AK PORTFÖY BIST GYO ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"","","","","","",""
BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,9484","12,6349","10,5641","41,2441","41,9305","",""
BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"2,3667","1,8426","8,717","44,4966","49,8863","",""
BHI,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,"3,2198","10,0887","21,649","27,8126","44,4948","",""
BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"1,5682","3,217","7,9886","30,0911","38,8785","",""
BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,5756","0,2613","-6,256","7,028","10,9425","100,2657",""
BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,4825","4,8633","2,8475","23,1037","25,6628","",""
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"7,7288","18,0734","21,5815","40,1843","91,8533","",""
