Dışa Aktarım Tarihi:,21.08.2026 08:51:11
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,8",0,"21,53",""
OPB,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,4","1,4","46,21",0
OPD,OSMANLI PORTFÖY ANKA SERBEST FON,Serbest Şemsiye Fonu,"1,4","1,4","45,49",0
OPF,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,75","2,75","63,49",0
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,6","2,6","35,39","3,65"
OPI,OSMANLI PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5","22,06","3,65"
OPL,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,4","1,4","46,64",0
ORC,ASTRA PORTFÖY ALFA SERBEST FON,Serbest Şemsiye Fonu,"2,1","2,1","29,09",""
OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1,1,"49,30","3,65"
OSL,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,2","1,2","46,70","3,65"
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,0,0,"1,65"
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,"2,01",0,"41,95","1,65"
OTM,AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,35",0,"5,67","3,65"
OUD,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,8","0,8","22,91",0
OVD,QNB PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5","2,5","62,21","3,65"
P1A,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) SERBEST FON,Serbest Şemsiye Fonu,1,0,0,0
PA2,PUSULA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,25",0,0,"2,19"
PAB,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,29",0,0,0
PAF,PARDUS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,1,0,"54,24","3,65"
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,"0,95",0,"21,59",""
PAO,PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"-10,86",0
PBI,PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,1,0,"60,17","3,65"
PBK,ASTRA PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"21,77",""
PBN,PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,1","2,1","-5,21",0
PBR,PUSULA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,75","1,75",0,"2,19"
PCE,PARDUS PORTFÖY İNCİ SERBEST FON,Serbest Şemsiye Fonu,2,0,"30,09",0
PDD,ASTRA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"2,09","2,09","38,21","3,65"
PDF,ASTRA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"22,97",""
PEA,PERFORM PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,83","1,83","48,36","2,19"
PFO,PHİLLİP PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,6","2,6","33,00","4,39"
PFS,ATLAS PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,05","1,05","47,74","4,38"
PGD,ASTRA PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,1","2,1","40,89","3,65"
PGS,AZİMUT PORTFÖY PAY GERİ ALIMI YAPAN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,35",0,"16,43","3,65"
PHE,PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5",0,"2,19"
PHI,PİRAMİT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,36","2,36","30,26","3,65"
PHK,PHİLLİP PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5","33,89","3,65"
PID,PİRAMİT PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,58","1,58","42,46","3,65"
PIL,ROTA PORTFÖY PİL TEKNOLOJİLERİ VE ENERJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,"77,32","4,38"
PIP,GARANTİ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,7","0,7","47,12",0
PIR,PİRAMİT PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,58","1,58","65,83","2,19"
PIS,PARDUS PORTFÖY İKİNCİ KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,1,0,0,0
PJL,PHİLLİP PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"1,25","1,25","46,54","1,65"
PJP,PERFORM PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","19,78",""
PK1,AHLATCI PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,1","1,1",0,""
PKD,PUSULA PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,"17,99","2,19"
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1,1,"52,95","1,65"
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,0,0,"2,19"
PKP,ATA PORTFÖY PARA PİYASASI KATILIM SERBEST FON,Serbest Şemsiye Fonu,"0,8","0,8",0,""
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,0,"43,30","1,65"
PKT,YAPI KREDİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,6",0,"46,94",""
PKV,PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,25",0,"56,10","3,65"
PLR,OSMANLI PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"0,42","0,42","48,77","3,65"
PMP,PARDUS PORTFÖY MODEL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"-39,82",0
PNU,PUSULA PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,1",0,0,"2,19"
PO9,PARDUS PORTFÖY ONDOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"-43,51","3,65"
POS,PARDUS PORTFÖY ONBEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"1,93","3,65"
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,1,0,"29,28","3,65"
PPB,PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9","2,9","12,74","3,65"
PPD,PERFORM PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,"47,51",""
PPE,PHİLLİP PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,5","1,5","23,90",0
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25","45,17","1,65"
PPH,PARDUS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,0,"16,82","3,65"
PPI,YAPI KREDİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,7","0,7","46,83","1,65"
PPJ,AK PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,39",0,"48,06",""
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,3","1,3","46,16","3,65"
PPM,PİRAMİT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,1","2,1","43,31",0
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,7","0,7","48,60",0
PPP,PERFORM PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,1,"47,17","1,65"
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","39,50",0
PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,05","1,05","52,94","1,65"
PPV,AKTİF PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,1,1,0,0
PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,3",0,"46,97","1,65"
PRD,PİRAMİT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,79","0,79","49,29","1,65"
PRH,AURA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,25","1,25","49,56","1,65"
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,16",0,0,"3,65"
PRU,ALLBATROSS PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,25",0,0,"1,65"
PRV,ASTRA PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,"2,1","2,1",0,""
PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,25","1,25","59,75","2,19"
PSE,ATLAS PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,"1,05","1,05","58,84",""
PSH,DENİZ PORTFÖY PERAKENDE SEKTÖRÜ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,9","1,9",0,"3,65"
PSL,AZİMUT PORTFÖY 8.0 SERBEST FON,Serbest Şemsiye Fonu,"1,58",0,"28,94",""
PTE,TEB PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,75","0,75","47,10",""
PTF,QNB PORTFÖY TREND SERBEST FON,Serbest Şemsiye Fonu,"1,75","1,75","43,60",0
PTN,PHİLLİP PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"2,1","2,1","62,22","2,19"
PTO,PARDUS PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,0,"67,42","3,65"
PTP,AHLATCI PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,1,0,"1,65"
PTS,QNB PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,3","1,3","46,96","4,38"
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,Serbest Şemsiye Fonu,1,1,"47,99",""
PUH,PERFORM PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,"48,79",""
PUK,PUSULA PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5",0,0,"2,19"
PVK,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,1,"1,46","43,88","2,56"
PYR,PARDUS PORTFÖY YİRMİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"-28,95",0
RAF,ROTA PORTFÖY ALTINCI SERBEST FON,Serbest Şemsiye Fonu,"0,2",0,"57,67",""
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1,1,"53,33","2,19"
RBB,RE-PIE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,5","1,5","42,18","3,65"
RBF,ROTA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1,0,"28,24","3,65"
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,95","1,95","49,11","3,65"
RBI,RE-PIE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,25","1,25","18,14",0
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","27,07","3,65"
RBL,QNB PORTFÖY ROBOTİK VE BLOCKCHAİN TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,"2,75","2,75","47,37","4,38"
RBN,RE-PIE PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,2,"8,85",0
RBP,RE-PIE PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,9","0,9","51,14","1,65"
RBR,RE-PIE  PORTFÖY BİRİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,"1,5","1,5","76,67",0
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Katılım Şemsiye Fonu,1,1,"46,25","3,65"
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5","1,5","43,52","2,56"
RCV,AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,3,0,"46,60","3,65"
RD1,ROTA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,"33,56","3,65"
RDF,ROTA PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"41,75",""
RDT,PHİLLİP PORTFÖY RODOSTO SERBEST FON,Serbest Şemsiye Fonu,3,3,"-16,68",0
RFM,ROTA PORTFÖY ENERJİ VE METAL FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,0,""
RGD,RE-PIE PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,3,0,"3,65"
RGH,RE-PIE PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,0,""
RHI,RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"37,43","3,65"
RHS,ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5",0,"35,49","3,65"
RIA,ROTA PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,6",0,"35,80",""
RIH,RE-PIE PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,2,"-2,23",0
RIK,RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,5","1,5","36,04","3,65"
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"0,95","0,95","52,86","2,19"
RKC,ROTA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,"62,55","3,65"
RKH,RE-PIE PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,5","2,5","29,46",0
RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"1,2",0,"38,53","3,65"
RKV,RE-PIE PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,1,1,"45,42",0
RLH,ROTA PORTFÖY YİRMİNCİ SERBEST FON,Serbest Şemsiye Fonu,"3,5",0,"47,78",""
ROF,ROTA PORTFÖY ONUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,5",0,"71,26",""
RPC,ROTA PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,"51,89","3,65"
RPD,RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,19","1,19","34,58","3,65"
RPG,ROTA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,6",0,"58,29","2,19"
RPI,ROTA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5",0,"34,19","3,65"
RPL,RE-PIE PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,3,3,"37,31",0
RPM,ROTA PORTFÖY İLAÇ VE MEDİKAL TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,"66,59","3,65"
RPN,ROTA PORTFÖY NEV SERBEST FON,Serbest Şemsiye Fonu,"0,75",0,"13,66",""
RPP,ROTA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,9",0,"47,44","1,65"
RPS,ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,9",0,"20,95",""
RPT,ROTA PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,1,0,"46,77",""
RPX,ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,0,"21,49",""
RRA,ROTA PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,"0,35",0,"49,09",""
RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,Katılım Şemsiye Fonu,"0,9","0,9","44,83","1,65"
RS1,ROTA PORTFÖY BİRİNCİ KISA VADELİ SERBEST FON,Serbest Şemsiye Fonu,1,0,0,""
RSK,ROTA PORTFÖY ONSEKİZİNCİ SERBEST FON,Serbest Şemsiye Fonu,"2,63",0,"73,95",""
RTD,RE-PIE PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","67,34","3,65"
RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","65,00","1,65"
RTH,RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,2,"12,48",0
RTP,RE-PIE PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,2,2,"14,62",0
RUT,BV PORTFÖY ROBOTİK VE UZAY TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","55,98","3,65"
RYF,ROTA PORTFÖY YEDİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"18,29",""
SAS,AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"13,68","2,56"
SBH,SPARTA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,15",0,0,0
SD1,SPARTA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,63",0,0,""
SFS,AZİMUT PORTFÖY AGRESİF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,0,0,"4,38"
SGK,EMAA BLUE PORTFÖY BİYOTEKNOLOJİ VE SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,4","2,4",0,""
SGT,GARANTİ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,0
SHC,STRATEJİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2",0,""
SHE,TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,75","2,75","16,60","1,65"
SHU,SPARTA PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,68",0,0,0
SKO,STRATEJİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,3,"53,82","3,65"
SKZ,NEO PORTFÖY SEKİZİNCİ SERBEST FON,Serbest Şemsiye Fonu,3,3,0,""
SLG,QNB PORTFÖY ALGORİTMİK STRATEJİLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,3,0,"4,38"
SNY,ATLAS PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,75",0,"44,90",""
SOS,HEDEF PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,95","2,95","46,81","3,65"
SPE,AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON,Serbest Şemsiye Fonu,"1,5",0,"29,01",""
SPN,AZİMUT PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,2",0,"38,94",""
SPP,SPARTA PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,1,"49,40","1,65"
SPR,BV PORTFÖY SPOR ENDÜSTRİSİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","1,67","3,65"
SPT,AKTİF PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,1,1,"54,12","1,65"
SRL,PARDUS PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,0,"54,93",0
SSK,DENİZ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,"46,71","3,65"
SSS,YAPI KREDİ PORTFÖY SAVUNMA SANAYİİ ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"17,22","3,65"
ST1,STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,99","2,99","2,97","3,65"
STI,ATLAS PORTFÖY SENTİMENT SERBEST FON,Serbest Şemsiye Fonu,"3,25",0,"5,78",0
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"50,93","3,65"
SUB,ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,25","2,25","26,33","3,65"
SUC,ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,Değişken Şemsiye Fonu,"2,25","2,25","52,07","3,65"
SUR,EMAA BLUE PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,9","1,9",0,"3,65"
SVB,STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"27,97","3,65"
TAL,ATLAS PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,"1,5","1,5","47,45","2,19"
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,9","2,9","22,00","2,56"
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,9",0,"-1,22","2,19"
TBT,TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"2,19","2,19","19,19","1,65"
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,75",0,"46,35","3,65"
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,2","1,2","40,03","4,38"
