Dışa Aktarım Tarihi:,21.08.2026 08:51:16
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"982840014,08","898539564,48","-8,58","409955798,00","375067108,00","-8,51","-0,07"
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Fon,"5934818663,21","3693489792,03","-37,77","3747791098,00","2253202802,00","-39,88","3,52"
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,Serbest Fon,"766951117,28","788301686,75","2,78","442339673,00","442222758,00","-0,03","2,81"
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"84085336,76","86267081,28","2,59","60822211,00","61134398,00","0,51","2,07"
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,Serbest Fon,"866945133,02","766399499,91","-11,6","16585096,00","14391853,00","-13,22","1,87"
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Fon,"6017741603,91","6734204893,18","11,91","123331540,00","135243342,00","9,66","2,05"
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,Serbest Fon,"535024824,22","512155999,99","-4,27","331314801,00","306989905,00","-7,34","3,31"
BLT,BULLS PORTFÖY ALTIN FONU,Altın Fonu,"283135918,51","380359017,93","34,34","166101580,00","200177993,00","20,52","11,47"
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"835302729,17","416287905,37","-50,16","249740522,00","133422322,00","-46,58","-6,72"
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,Serbest Fon,"704581310,81","622319027,93","-11,68","335699604,00","284135779,00","-15,36","4,35"
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"64243619,42","56388957,56","-12,23","55658584,00","48369801,00","-13,1","1,00"
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"102292069,45","103043782,22","0,73","62618264,00","60809509,00","-2,89","3,73"
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"15900409,64","27328894,76","71,88","12205272,00","19255051,00","57,76","8,95"
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"2662410239,07","2556594309,79","-3,97","1738886372,00","1602231760,00","-7,86","4,22"
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"376494378,97","649833465,84","72,6","245804268,00","408553293,00","66,21","3,84"
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"132991118,58","132420341,22","-0,43","101509562,00","98047561,00","-3,41","3,09"
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"90427720,82","83611078,31","-7,54","58907141,00","52406967,00","-11,03","3,93"
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"91094386,02","103795692,23","13,94","56751685,00","62440899,00","10,02","3,56"
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"19520723,82","15721433,10","-19,46","18492617,00","17312747,00","-6,38","-13,97"
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Fon,"8452125,44","8304331,88","-1,75","6880724,00","6734915,00","-2,12","0,38"
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,Serbest Fon,"311026389,03","354286006,82","13,91","265719791,00","297063464,00","11,8","1,89"
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"6703569,64","7051376,77","5,19","7038777,00","7257619,00","3,11","2,02"
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,Serbest Fon,"2760370015,83","2370157572,30","-14,14","1642206361,00","1346961804,00","-17,98","4,68"
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"45853302,80","42474949,94","-7,37","4372688,00","4013071,00","-8,22","0,93"
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Değişken Fon,"256879473,15","226490425,91","-11,83","53298054,00","43362445,00","-18,64","8,37"
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"12409303,27","12462608,01","0,43","9259426,00","9086074,00","-1,87","2,35"
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Fonu,"295437045,47","306380984,96","3,7","190013666,00","181884717,00","-4,28","8,34"
BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"3940585,54","7544002,64","91,44","3198406,00","6164633,00","92,74","-0,67"
BUB,BULLS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"97553679,16","114289773,92","17,16","80608617,00","91729176,00","13,8","2,95"
BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,Serbest Fon,"18536202,92","15050918,48","-18,8","14509589,00","12180418,00","-16,05","-3,28"
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"357055670,12","345830496,83","-3,14","206115062,00","191792085,00","-6,95","4,09"
BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"79586192,77","86173799,42","8,28","49438494,00","50847765,00","2,85","5,28"
BVD,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"281756865,13","276682841,65","-1,8","212230705,00","197000340,00","-7,18","5,79"
BVF,BV PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Fonu,"1930216852,55","1781832395,74","-7,69","1412687551,00","1260398566,00","-10,78","3,47"
BVK,BULLS PORTFÖY VOLTRAN KATILIM SERBEST (TL) FON,Serbest Fon,"2035985,86","41586,37","-97,96","1440374,00","31539,00","-97,81","-6,72"
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"15562709,94","13682241,07","-12,08","11167121,00","10353553,00","-7,29","-5,17"
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Fon,"169040683,98","194004280,44","14,77","49608946,00","55108907,00","11,09","3,31"
